Production Company,Year,Average Popularity
Pixar Animation Studios,1995,30000000.0
Pixar Animation Studios,1998,120000000.0
Pixar Animation Studios,1999,90000000.0
Pixar Animation Studios,2001,115000000.0
Pixar Animation Studios,2003,47000000.0
Pixar Animation Studios,2004,46000000.0
Pixar Animation Studios,1986,0.0
Pixar Animation Studios,2006,40000000.0
Pixar Animation Studios,2007,75000000.0
Pixar Animation Studios,2008,60000000.0
Pixar Animation Studios,2009,43750000.0
Pixar Animation Studios,2010,100000000.0
Pixar Animation Studios,2011,40000000.0
Pixar Animation Studios,2002,0.0
Pixar Animation Studios,2012,61666666.666666664
Pixar Animation Studios,2005,0.0
Pixar Animation Studios,1988,0.0
Pixar Animation Studios,1987,0.0
Pixar Animation Studios,1997,0.0
Pixar Animation Studios,1989,0.0
Pixar Animation Studios,2000,0.0
Pixar Animation Studios,2013,66666666.666666664
Pixar Animation Studios,2014,0.0
Pixar Animation Studios,1984,0.0
Pixar Animation Studios,2015,70000000.0
Pixar Animation Studios,2016,100000000.0
Pixar Animation Studios,2017,87500000.0
