Production Company,Year,Gener,Releases
Pixar Animation Studios,1995,Animation,1
Pixar Animation Studios,1995,Comedy,1
Pixar Animation Studios,1995,Family,1
Pixar Animation Studios,1998,Animation,1
Pixar Animation Studios,1998,Comedy,1
Pixar Animation Studios,1998,Family,1
Pixar Animation Studios,1998,Adventure,1
Pixar Animation Studios,1999,Animation,1
Pixar Animation Studios,1999,Comedy,1
Pixar Animation Studios,1999,Family,1
Pixar Animation Studios,2001,Animation,1
Pixar Animation Studios,2001,Comedy,1
Pixar Animation Studios,2001,Family,1
Pixar Animation Studios,2003,Animation,2
Pixar Animation Studios,2003,Family,2
Pixar Animation Studios,2004,Animation,2
Pixar Animation Studios,2004,Family,2
Pixar Animation Studios,2004,Adventure,2
Pixar Animation Studios,2004,Action,1
Pixar Animation Studios,1986,Animation,1
Pixar Animation Studios,2006,Animation,3
Pixar Animation Studios,2006,Comedy,1
Pixar Animation Studios,2006,Family,2
Pixar Animation Studios,2006,Adventure,1
Pixar Animation Studios,2007,Animation,2
Pixar Animation Studios,2007,Comedy,1
Pixar Animation Studios,2007,Family,2
Pixar Animation Studios,2007,Fantasy,1
Pixar Animation Studios,2008,Animation,3
Pixar Animation Studios,2008,Family,3
Pixar Animation Studios,2009,Animation,4
Pixar Animation Studios,2009,Comedy,2
Pixar Animation Studios,2009,Family,4
Pixar Animation Studios,2009,Adventure,1
Pixar Animation Studios,2010,Animation,2
Pixar Animation Studios,2010,Comedy,1
Pixar Animation Studios,2010,Family,2
Pixar Animation Studios,2011,Animation,5
Pixar Animation Studios,2011,Comedy,1
Pixar Animation Studios,2011,Family,5
Pixar Animation Studios,2011,Adventure,1
Pixar Animation Studios,2002,Animation,1
Pixar Animation Studios,2002,Family,1
Pixar Animation Studios,2012,Animation,3
Pixar Animation Studios,2012,Comedy,2
Pixar Animation Studios,2012,Family,3
Pixar Animation Studios,2012,Adventure,1
Pixar Animation Studios,2012,Fantasy,2
Pixar Animation Studios,2012,Action,1
Pixar Animation Studios,2005,Animation,1
Pixar Animation Studios,2005,Family,1
Pixar Animation Studios,1988,Animation,1
Pixar Animation Studios,1987,Animation,1
Pixar Animation Studios,1997,Animation,1
Pixar Animation Studios,1997,Family,1
Pixar Animation Studios,1989,Animation,1
Pixar Animation Studios,2000,Animation,1
Pixar Animation Studios,2000,Family,1
Pixar Animation Studios,2013,Animation,3
Pixar Animation Studios,2013,Comedy,1
Pixar Animation Studios,2013,Family,2
Pixar Animation Studios,2013,Romance,1
Pixar Animation Studios,2014,Animation,1
Pixar Animation Studios,2014,Family,1
Pixar Animation Studios,1984,Animation,1
Pixar Animation Studios,2015,Animation,5
Pixar Animation Studios,2015,Comedy,1
Pixar Animation Studios,2015,Family,4
Pixar Animation Studios,2015,Adventure,1
Pixar Animation Studios,2015,Drama,1
Pixar Animation Studios,2016,Animation,2
Pixar Animation Studios,2016,Comedy,1
Pixar Animation Studios,2016,Family,2
Pixar Animation Studios,2016,Adventure,1
Pixar Animation Studios,2017,Animation,2
Pixar Animation Studios,2017,Comedy,1
Pixar Animation Studios,2017,Family,1
Pixar Animation Studios,2017,Adventure,1
